variant,model,project,status,error,artifact,elapsed_sec,cost_usd,ext_group_precision,ext_group_recall,ext_group_f1,ext_qty_mae,ext_unit_count_error,ext_frame_count_error,ext_glass_acc,ext_ufactor_acc,ext_egress_acc,ext_hallucination_rate,ext_miss_rate,ext_matched_groups,ext_fp_groups,ext_fn_groups,ext_pred_units_total,ext_gt_units_total
A,anthropic:claude-opus-4-7,745,ok,,runs/variant_a/745/claude-opus-4-7/units.jsonl,142.76,1.6211,0.038461538461538464,0.16666666666666666,0.0625,1.0,2.2916666666666665,,,,,0.9615384615384616,0.8333333333333334,1,25,5,79,24
A,gemini:gemini-3.1-pro-preview,745,ok,,runs/variant_a/745/gemini-3.1-pro-preview/units.jsonl,,,0.05,0.16666666666666666,0.07692307692307691,2.0,1.5,,,,,0.95,0.8333333333333334,1,19,5,60,24
E,anthropic:claude-opus-4-7,745,ok,,runs/variant_b/745_E_fallback_B/claude-opus-4-7/units.jsonl,341.82,1.4988,0.0,0.0,0.0,,0.9166666666666666,,,,,1.0,1.0,0,17,6,46,24
E,gemini:gemini-3.1-pro-preview,745,ok,,runs/variant_b/745_E_fallback_B/gemini-3.1-pro-preview/units.jsonl,,,0.0,0.0,0.0,,1.25,,,,,1.0,1.0,0,16,6,54,24
C,anthropic:claude-opus-4-7,745,killed,"cost-impractical: 292 1024px tiles in ~12min, would exceed $5 budget; kept artifact tiles for R6 cost-analysis",,,,,,,,,,,,,,,,,,,
C,gemini:gemini-3.1-pro-preview,745,killed,cost-impractical: 218 1024px tiles in ~12min; same reason,,,,,,,,,,,,,,,,,,,
